PKEY,GRASS_SPP,Interval1,Interval2,Interval3,Interval4,Interval5,Interval6,Interval7,Interval8,Interval9,Interval10,DURMETH
ABMI:PUBLIC:1083:2008_5_28_8_23,CCSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1083:2008_5_28_9_30,CCSP,0,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1084:2009_6_10_5_39,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1084:2009_6_10_6_16,CCSP,0,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1084:2009_6_10_8_13,CCSP,0,0,0,0,0,0,1,0,1,0,Y
ABMI:PUBLIC:1084:2009_6_10_9_20,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1090:2011_5_29_5_17,CCSP,4,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1090:2011_5_29_5_42,CCSP,4,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1090:2011_5_29_6_32,CCSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1090:2011_5_29_6_4,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1090:2011_5_29_7_30,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1090:2011_5_29_7_51,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1090:2011_5_29_7_6,CCSP,1,0,0,0,0,0,1,0,0,0,Y
ABMI:PUBLIC:1090:2011_5_29_8_13,CCSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1090:2011_5_29_8_36,CCSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1092:2011_5_23_10_21,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1092:2011_5_23_6_35,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1092:2011_5_23_7_26,CCSP,2,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1092:2011_5_23_7_5,CCSP,3,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1092:2011_5_23_7_55,CCSP,2,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1092:2011_5_23_9_53,CCSP,0,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1093:2011_5_25_10_3,CCSP,3,0,0,0,0,0,1,0,0,0,Y
ABMI:PUBLIC:1093:2011_5_25_5_25,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1093:2011_5_25_5_55,CCSP,4,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1093:2011_5_25_6_40,CCSP,2,1,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1093:2011_5_25_7_12,CCSP,3,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1093:2011_5_25_7_46,CCSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1093:2011_5_25_8_19,CCSP,0,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1093:2011_5_25_8_59,CCSP,4,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1093:2011_5_25_9_31,CCSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1116:2008_5_27_5_48,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1116:2008_5_27_6_22,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1116:2008_5_27_6_50,CCSP,3,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1116:2008_5_27_7_21,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1116:2008_5_27_8_35,CCSP,2,0,0,2,0,0,0,0,0,0,Y
ABMI:PUBLIC:1116:2008_5_27_8_7,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1116:2008_5_27_9_38,CCSP,0,0,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1117:2008_5_28_5_37,CCSP,0,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1117:2008_5_28_5_6,CCSP,1,2,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1117:2008_5_28_6_32,CCSP,6,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1117:2008_5_28_6_59,CCSP,4,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1117:2008_5_28_6_6,CCSP,1,2,0,0,0,0,0,0,0,1,Y
ABMI:PUBLIC:1117:2008_5_28_7_26,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1117:2008_5_28_7_50,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1117:2008_5_28_8_15,CCSP,0,0,0,2,0,0,0,0,0,0,Y
ABMI:PUBLIC:1117:2008_5_28_8_30,CCSP,0,0,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1118:2007_6_18_10_0,CCSP,3,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1118:2007_6_18_6_34,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1118:2007_6_18_6_6,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1118:2007_6_18_7_47,CCSP,1,0,0,0,0,0,0,0,0,1,Y
ABMI:PUBLIC:1118:2007_6_18_8_20,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1118:2007_6_18_8_55,CCSP,2,0,0,1,1,0,0,0,0,0,Y
ABMI:PUBLIC:1118:2007_6_18_9_30,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2011_5_30_10_8,CCSP,5,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2011_5_30_5_15,CCSP,3,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2011_5_30_6_37,CCSP,3,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2011_5_30_6_4,CCSP,3,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2011_5_30_7_10,CCSP,4,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2011_5_30_7_51,CCSP,1,0,1,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1122:2011_5_30_8_41,CCSP,4,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2011_5_30_9_10,CCSP,3,0,0,1,0,0,0,0,0,1,Y
ABMI:PUBLIC:1122:2011_5_30_9_44,CCSP,1,1,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1122:2014_6_1_5_28,CCSP,2,1,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2014_6_1_5_53,CCSP,4,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2014_6_1_6_15,CCSP,4,0,2,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2014_6_1_6_37,CCSP,4,2,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2014_6_1_6_59,CCSP,5,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2014_6_1_7_46,CCSP,5,1,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2014_6_1_8_23,CCSP,4,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1122:2014_6_1_8_46,CCSP,3,0,2,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1125:2011_5_27_4_52,CCSP,4,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1125:2011_5_27_5_20,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1125:2011_5_27_5_52,CCSP,2,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1125:2011_5_27_6_19,CCSP,0,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1125:2011_5_27_6_43,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1125:2011_5_27_7_11,CCSP,2,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1125:2011_5_27_7_36,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1125:2011_5_27_8_0,CCSP,1,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1125:2011_5_27_8_25,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1126:2011_5_28_10_34,CCSP,0,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1126:2011_5_28_6_50,CCSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1126:2011_5_28_7_38,CCSP,0,1,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1126:2011_5_28_8_38,CCSP,3,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1126:2011_5_28_8_9,CCSP,0,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1126:2011_5_28_9_38,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1126:2011_5_28_9_8,CCSP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1126:2014_6_13_4_53,CCSP,1,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1126:2014_6_13_5_24,CCSP,2,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1126:2014_6_13_5_46,CCSP,1,0,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1126:2014_6_13_6_34,CCSP,0,0,1,0,2,0,0,0,0,0,Y
ABMI:PUBLIC:1126:2014_6_13_6_9,CCSP,0,0,0,0,1,0,1,1,0,0,Y
ABMI:PUBLIC:1126:2014_6_13_7_11,CCSP,1,1,2,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1126:2014_6_13_7_33,CCSP,1,1,0,0,0,0,1,0,0,0,Y
ABMI:PUBLIC:1126:2014_6_13_7_57,CCSP,1,2,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1126:2014_6_13_8_18,CCSP,1,1,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1127:2011_5_29_5_49,CCSP,0,1,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1127:2011_5_29_6_29,CCSP,0,0,0,1,0,0,0,0,1,0,Y
ABMI:PUBLIC:1127:2011_5_29_6_51,CCSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1127:2011_5_29_6_9,CCSP,1,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1127:2011_5_29_7_33,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1127:2011_5_29_7_41,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1127:2011_5_29_7_53,CCSP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1148:2008_5_28_5_10,CCSP,4,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1148:2008_5_28_5_30,CCSP,2,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1148:2008_5_28_6_1,CCSP,0,3,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1148:2008_5_28_6_24,CCSP,2,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1148:2008_5_28_7_59,CCSP,1,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1148:2008_5_28_8_22,CCSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1148:2008_5_28_8_40,CCSP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1149:2007_6_17_10_24,CCSP,1,0,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1149:2007_6_17_5_55,CCSP,0,0,1,0,0,0,0,0,0,0,Y
