PKEY,GRASS_SPP,Interval1,Interval2,Interval3,Interval4,Interval5,Interval6,Interval7,Interval8,Interval9,Interval10,DURMETH
ABMI:PUBLIC:1544:2015_6_13_8_14,GRSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1544:2015_6_13_8_38,GRSP,0,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1544:2015_6_13_9_9,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1545:2015_6_14_6_43,GRSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1545:2015_6_14_8_33,GRSP,1,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1545:2015_6_14_8_7,GRSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1553:2014_5_24_5_6,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1553:2014_5_24_6_31,GRSP,0,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1553:2014_5_24_6_58,GRSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1553:2014_5_24_6_8,GRSP,2,0,0,0,0,0,1,0,0,0,Y
ABMI:PUBLIC:1553:2014_5_24_7_45,GRSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1554:2014_5_25_5_49,GRSP,0,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1557:2015_5_27_5_41,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1557:2015_5_27_8_36,GRSP,0,0,0,0,0,1,0,1,0,0,Y
ABMI:PUBLIC:1557:2015_5_27_9_9,GRSP,0,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1558:2012_6_11_5_7,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1558:2012_6_11_6_1,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1558:2015_5_28_5_32,GRSP,1,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1558:2015_5_28_5_53,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1558:2015_5_28_6_15,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1558:2015_5_28_6_36,GRSP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1558:2015_5_28_6_54,GRSP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1558:2015_5_28_7_23,GRSP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1558:2015_5_28_7_44,GRSP,0,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1561:2011_5_24_7_20,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1561:2011_5_24_8_24,GRSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1574:2009_6_11_5_10,GRSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1574:2009_6_11_5_45,GRSP,0,0,2,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1574:2009_6_11_6_10,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1574:2009_6_11_6_35,GRSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1574:2009_6_11_7_0,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1574:2009_6_11_7_25,GRSP,0,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1574:2009_6_11_7_50,GRSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1574:2009_6_11_8_40,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1574:2015_5_30_5_24,GRSP,2,0,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1574:2015_5_30_5_46,GRSP,1,1,0,0,0,0,0,0,0,1,Y
ABMI:PUBLIC:1574:2015_5_30_6_30,GRSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1574:2015_5_30_7_13,GRSP,1,0,0,0,0,0,0,0,0,1,Y
ABMI:PUBLIC:1574:2015_5_30_7_32,GRSP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1574:2015_5_30_7_53,GRSP,0,0,2,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1575:2015_5_31_6_12,GRSP,0,0,0,0,0,0,0,0,0,1,Y
ABMI:PUBLIC:1577:2011_5_28_5_46,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1577:2011_5_28_6_11,GRSP,0,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1577:2011_5_28_6_29,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1577:2011_5_28_6_47,GRSP,1,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1577:2011_5_28_7_24,GRSP,0,0,0,0,0,0,1,0,0,0,Y
ABMI:PUBLIC:1577:2011_5_28_7_7,GRSP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1577:2011_5_28_8_26,GRSP,0,1,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1577:2012_6_13_6_43,GRSP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1589:2013_6_15_5_17,GRSP,1,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1589:2013_6_15_5_55,GRSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1589:2013_6_15_6_11,GRSP,0,0,0,0,0,2,0,0,0,0,Y
ABMI:PUBLIC:1589:2013_6_15_6_30,GRSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1589:2013_6_15_6_46,GRSP,0,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1589:2013_6_15_7_20,GRSP,1,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1589:2013_6_15_7_38,GRSP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1612:2012_6_15_6_20,GRSP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1629:2009_6_15_5_52,GRSP,0,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1631:2014_5_30_5_24,GRSP,1,0,0,0,0,0,0,0,0,0,Y
BBSAB:101:Stop1:05:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:101:Stop12:05:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:101:Stop13:05:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:101:Stop14:05:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:101:Stop16:05:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:101:Stop17:05:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:101:Stop21:05:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:101:Stop22:04:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:101:Stop23:06:1,GRSP,2,0,0,0,0,0,0,0,0,0,D
BBSAB:101:Stop24:06:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:101:Stop28:04:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:101:Stop28:05:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:101:Stop28:06:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:101:Stop36:05:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:101:Stop40:06:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:101:Stop41:05:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:101:Stop48:05:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:101:Stop5:05:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:101:Stop5:06:1,GRSP,2,0,0,0,0,0,0,0,0,0,D
BBSAB:101:Stop9:05:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:102:Stop46:98:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:104:Stop2:13:1,GRSP,2,0,0,0,0,0,0,0,0,0,D
BBSAB:104:Stop3:13:1,GRSP,2,0,0,0,0,0,0,0,0,0,D
BBSAB:104:Stop6:13:1,GRSP,2,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop1:06:1,GRSP,2,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop1:07:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop1:08:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop1:10:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop1:98:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop10:00:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop10:06:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop10:07:1,GRSP,2,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop10:08:1,GRSP,4,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop10:09:1,GRSP,2,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop10:10:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop10:98:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop12:07:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop12:98:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop13:05:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop13:06:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop13:07:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop13:98:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop15:00:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop15:01:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop15:06:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop15:07:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop15:10:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop16:00:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop16:05:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop16:06:1,GRSP,3,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop16:07:1,GRSP,2,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop16:08:1,GRSP,2,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop16:09:1,GRSP,3,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop16:10:1,GRSP,2,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop17:06:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop17:09:1,GRSP,2,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop2:05:1,GRSP,2,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop2:07:1,GRSP,2,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop21:00:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop21:05:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop21:06:1,GRSP,2,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop21:07:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop21:10:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop21:98:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop22:05:1,GRSP,2,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop22:06:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop22:07:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop23:05:1,GRSP,2,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop23:06:1,GRSP,2,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop23:08:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop23:09:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop23:98:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop24:00:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop24:01:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop24:02:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop24:05:1,GRSP,2,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop24:06:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop24:07:1,GRSP,2,0,0,0,0,0,0,0,0,0,D
BBSAB:106:Stop24:09:1,GRSP,1,0,0,0,0,0,0,0,0,0,D
