PKEY,GRASS_SPP,Interval1,Interval2,Interval3,Interval4,Interval5,Interval6,Interval7,Interval8,Interval9,Interval10,DURMETH
ABMI:PUBLIC:1157:2011_5_30_6_2,VESP,2,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1157:2011_5_30_6_22,VESP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1157:2011_5_30_6_50,VESP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1157:2011_5_30_7_15,VESP,1,0,0,0,0,0,1,0,0,0,Y
ABMI:PUBLIC:1157:2011_5_30_7_36,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1157:2011_5_30_8_3,VESP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1158:2011_5_31_4_44,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1158:2011_5_31_5_5,VESP,0,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1158:2011_5_31_6_10,VESP,1,0,1,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1158:2011_5_31_6_31,VESP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1158:2011_5_31_6_51,VESP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1158:2011_5_31_7_36,VESP,0,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1159:2011_6_1_5_25,VESP,0,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1159:2011_6_1_5_49,VESP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1159:2011_6_1_6_48,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1159:2011_6_1_7_10,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1159:2011_6_1_7_39,VESP,1,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1160:2011_5_31_5_17,VESP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1160:2011_5_31_5_42,VESP,2,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1160:2011_5_31_6_23,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1160:2011_5_31_6_3,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1160:2011_5_31_6_48,VESP,0,0,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1160:2011_5_31_7_11,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1160:2011_5_31_7_32,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1160:2011_5_31_7_53,VESP,0,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1160:2011_5_31_8_16,VESP,0,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1183:2014_5_24_6_52,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1183:2014_5_24_7_28,VESP,0,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1184:2011_6_8_4_56,VESP,0,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1184:2011_6_8_5_44,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1184:2011_6_8_6_31,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1184:2011_6_8_6_4,VESP,0,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1184:2011_6_8_7_27,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1184:2011_6_8_7_45,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1184:2011_6_8_7_8,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1185:2011_6_9_4_36,VESP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1185:2011_6_9_5_11,VESP,1,0,0,0,0,0,0,2,0,0,Y
ABMI:PUBLIC:1185:2011_6_9_5_16,VESP,4,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1185:2011_6_9_5_17,VESP,6,0,0,0,0,0,1,0,0,0,Y
ABMI:PUBLIC:1185:2011_6_9_5_18,VESP,1,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1186:2011_6_10_4_49,VESP,3,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1186:2011_6_10_4_57,VESP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1186:2011_6_10_5_20,VESP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1186:2011_6_10_5_36,VESP,3,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1186:2011_6_10_5_56,VESP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1186:2011_6_10_6_15,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1186:2011_6_10_6_38,VESP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1186:2011_6_10_6_39,VESP,5,2,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1190:2008_6_20_5_10,VESP,0,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1190:2008_6_20_5_42,VESP,1,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1190:2008_6_20_6_11,VESP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1190:2008_6_20_6_41,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1190:2008_6_20_7_46,VESP,1,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1190:2008_6_20_8_16,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1190:2008_6_20_9_15,VESP,2,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1190:2011_6_1_5_38,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1190:2011_6_1_6_20,VESP,1,2,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1190:2011_6_1_6_40,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1190:2011_6_1_7_1,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1190:2011_6_1_7_24,VESP,1,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1190:2011_6_1_7_45,VESP,1,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1190:2011_6_1_8_25,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1190:2011_6_1_8_5,VESP,0,0,0,0,0,1,0,0,0,1,Y
ABMI:PUBLIC:1190:2014_6_15_6_50,VESP,0,0,0,0,0,0,1,0,0,0,Y
ABMI:PUBLIC:1190:2014_6_15_7_11,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1190:2014_6_15_7_37,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1190:2015_6_16_6_31,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1190:2015_6_16_6_6,VESP,0,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1190:2015_6_16_7_16,VESP,2,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1190:2015_6_16_7_41,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1190:2015_6_16_8_30,VESP,0,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1191:2008_6_18_5_35,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1191:2008_6_18_6_32,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1191:2008_6_18_6_4,VESP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1191:2008_6_18_7_13,VESP,1,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1191:2008_6_18_7_36,VESP,2,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1191:2008_6_18_8_2,VESP,0,0,1,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1191:2008_6_18_8_39,VESP,0,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1191:2008_6_18_8_58,VESP,0,0,0,0,0,0,1,0,0,0,Y
ABMI:PUBLIC:1191:2008_6_18_9_28,VESP,0,0,0,0,0,0,0,1,0,1,Y
ABMI:PUBLIC:1191:2015_6_17_5_34,VESP,0,0,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1191:2015_6_17_5_55,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1191:2015_6_17_9_38,VESP,3,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1192:2008_6_19_5_45,VESP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1192:2008_6_19_6_10,VESP,2,2,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1192:2008_6_19_6_34,VESP,0,0,1,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1192:2008_6_19_6_56,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1192:2008_6_19_7_21,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1192:2008_6_19_8_27,VESP,2,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1192:2008_6_19_8_47,VESP,1,0,0,0,0,0,0,0,0,1,Y
ABMI:PUBLIC:1192:2008_6_19_8_5,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1192:2015_6_16_0_0,VESP,2,0,0,0,0,0,0,1,0,0,Y
ABMI:PUBLIC:1193:2014_6_9_6_55,VESP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1193:2014_6_9_7_50,VESP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1193:2014_6_9_8_16,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1193:2014_6_9_8_44,VESP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1194:2014_6_10_5_1,VESP,1,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1194:2014_6_10_6_26,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1194:2014_6_10_7_18,VESP,0,0,0,0,1,0,0,0,0,0,Y
ABMI:PUBLIC:1194:2014_6_10_8_8,VESP,0,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1216:2011_6_11_4_55,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1216:2011_6_11_5_1,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1216:2011_6_11_5_27,VESP,0,1,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1216:2011_6_11_5_31,VESP,2,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1216:2011_6_11_7_56,VESP,1,1,0,0,2,0,0,0,0,0,Y
ABMI:PUBLIC:1216:2011_6_11_7_59,VESP,0,0,0,0,0,1,0,0,0,0,Y
ABMI:PUBLIC:1216:2011_6_11_8_0,VESP,5,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1217:2011_6_12_5_1,VESP,2,0,0,0,0,0,1,0,0,0,Y
ABMI:PUBLIC:1217:2011_6_12_5_22,VESP,1,0,0,1,0,0,0,0,0,0,Y
ABMI:PUBLIC:1217:2011_6_12_5_44,VESP,1,0,0,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1217:2011_6_12_6_31,VESP,1,0,1,0,0,0,0,0,0,0,Y
ABMI:PUBLIC:1217:2011_6_12_6_8,VESP,1,0,0,0,0,0,0,0,1,0,Y
ABMI:PUBLIC:1217:2011_6_12_7_37,VESP,1,0,1,0,0,0,0,0,0,0,Y
